year,effort,caps,caps_juv
1996,638.85,91,33
1997,1797.25,10,8
1998,1718.76,0,0
1999,1175.24,0,0
2000,688.89,112,21
2001,710.01,55,31
2002,487.25,1,1
2003,697.51,3,2
2004,1005.84,207,34
2005,615.8,24,4
2006,742,6,4
2007,704.45,18,11
2008,967.47,178,26
2009,736.64,10,2
2010,667.85,1,0
2011,872.85,17,10
2012,932.1,140,59
2013,923.48,15,4
2014,923.89,8,5
2015,1086.51,8,7
2016,829.2,22,15
2017,989.88,93,30
2018,799.23,27,18
2019,891.21,34,33
2020,875.31,10,5
2021,834.69,22,8
2022,890.39,20,13
2023,678.16,12,9
